question,expected_document,unbounded_recall,recall_at_1,recall_at_5,mrr,ndcg_at_10,retrieved_documents,retrieval_scores
What is the FY2017 - FY2019 3 year average of capex as a % of revenue for Activision Blizzard? Answer in units of percents and round to one decimal place. Calculate (or extract) the answer from the statement of income and the cash flow statement.,ACTIVISIONBLIZZARD_2019_10K,1.0,0.0,1.0,0.2,0.38685280723454163,ACTIVISIONBLIZZARD_2015_10K | ACTIVISIONBLIZZARD_2016_10K | ACTIVISIONBLIZZARD_2017_10K | ACTIVISIONBLIZZARD_2018_10K | ACTIVISIONBLIZZARD_2019_10K | ACTIVSIONBLIZZARD_2023Q2_10Q | ACTIVISIONBLIZZARD_2020_10K | ACTIVISIONBLIZZARD_2021_10K | ACTIVISIONBLIZZARD_2022_10K,None | None | None | None | None | None | None | None | None
What is the FY2017 operating cash flow ratio for Adobe? Operating cash flow ratio is defined as: cash from operations / total current liabilities. Round your answer to two decimal places. Please utilize information provided primarily within the balance sheet and the cash flow statement.,ADOBE_2017_10K,1.0,1.0,1.0,1.0,1.0,ADOBE_2017_10K | ADOBE_2022_10K | ADOBE_2016_10K | ADOBE_2015_10K | ADOBE_2020_10K | ADOBE_2019_10K | ADOBE_2018_10K | ADOBE_2021_10K | ADOBE_2022Q2_10Q | GENERALMILLS_2017_10K,None | None | None | None | None | None | None | None | None | None
What is Amazon's FY2017 days payable outstanding (DPO)? DPO is defined as: 365 * (average accounts payable between FY2016 and FY2017) / (FY2017 COGS + change in inventory between FY2016 and FY2017). Round your answer to two decimal places. Address the question by using the line items and information shown within the balance sheet and the P&L statement.,AMAZON_2017_10K,1.0,1.0,1.0,1.0,1.0,AMAZON_2017_10K | AMAZON_2015_10K | AMAZON_2019_10K | AMAZON_2016_10K | AMAZON_2018_10K | AMAZON_2021_10K | AMAZON_2020_10K | AMAZON_2022_10K | ORACLE_2015_10K,None | None | None | None | None | None | None | None | None
What is Amazon's year-over-year change in revenue from FY2016 to FY2017 (in units of percents and round to one decimal place)? Calculate what was asked by utilizing the line items clearly shown in the statement of income.,AMAZON_2017_10K,1.0,1.0,1.0,1.0,1.0,AMAZON_2017_10K | AMAZON_2016_10K | AMAZON_2020_10K | AMAZON_2018_10K | AMAZON_2019_10K | AMAZON_2015_10K,None | None | None | None | None | None
"Does AMCOR have an improving gross margin profile as of FY2023? If gross margin is not a useful metric for a company like this, then state that and explain why.",AMCOR_2023_10K,1.0,0.0,1.0,0.5,0.6309297535714575,AMCOR_2023Q2_10Q | AMCOR_2023_10K | AMCOR_2021_10K | AMCOR_2020_10K | AMCOR_2022_10K | AMCOR_2019_10K | AMCOR_2023Q4_EARNINGS | GENERALMILLS_2017_10K | LOCKHEEDMARTIN_2017_10K | FOOTLOCKER_2023_annualreport,None | None | None | None | None | None | None | None | None | None
"How much was the Real change in Sales for AMCOR in FY 2023 vs FY 2022, if we exclude the impact of FX movement, passthrough costs and one-off items?",AMCOR_2023Q4_EARNINGS,1.0,0.0,1.0,0.3333333333333333,0.5,AMCOR_2023_10K | AMCOR_2022_10K | AMCOR_2023Q4_EARNINGS | AMCOR_2021_10K | AMCOR_2019_10K | AMCOR_2023Q2_10Q | AMCOR_2020_10K,None | None | None | None | None | None | None
"Answer the following question as if you are an equity research analyst and have lost internet connection so you do not have access to financial metric providers. According to the details clearly outlined within the P&L statement and the statement of cash flows, what is the FY2015 depreciation and amortization (D&A from cash flow statement) % margin for AMD?",AMD_2015_10K,1.0,0.0,1.0,0.2,0.38685280723454163,AMD_2017_10K | AMD_2016_10K | AMD_2018_10K | AMD_2022_annualreport | AMD_2015_10K | AMD_2021_10K | AMD_2019_10K | AMD_2022_10K,None | None | None | None | None | None | None | None
"Does AMD have a reasonably healthy liquidity profile based on its quick ratio for FY22? If the quick ratio is not relevant to measure liquidity, please state that and explain why.",AMD_2022_10K,1.0,0.0,0.0,0.16666666666666666,0.3562071871080222,AMD_2022_annualreport | AMD_2021_10K | AMD_2018_10K | AMD_2019_10K | AMD_2020_10K | AMD_2022_10K | AMD_2016_10K | AMD_2017_10K,None | None | None | None | None | None | None | None
"From FY21 to FY22, excluding Embedded, in which AMD reporting segment did sales proportionally increase the most?",AMD_2022_10K,1.0,1.0,1.0,1.0,1.0,AMD_2022_10K | AMD_2022_annualreport | AMD_2017_10K | AMD_2021_10K | AMD_2020_10K | AMD_2016_10K | AMD_2015_10K | AMD_2019_10K | AMD_2018_10K,None | None | None | None | None | None | None | None | None
How much (in USD billions) did American Water Works pay out in cash dividends for FY2020? Compute or extract the answer by primarily using the details outlined in the statement of cash flows.,AMERICANWATERWORKS_2020_10K,1.0,0.0,1.0,0.2,0.38685280723454163,AMERICANWATERWORKS_2019_10K | AMERICANWATERWORKS_2016_10K | AMERICANWATERWORKS_2015_10K | AMERICANWATERWORKS_2017_10K | AMERICANWATERWORKS_2020_10K | AMERICANWATERWORKS_2018_10K | AMERICANWATERWORKS_2021_10K | AMERICANWATERWORKS_2023Q2_10Q,None | None | None | None | None | None | None | None
Which Best Buy product category performed the best (by top line) in the domestic (USA) Market during Q2 of FY2024?,BESTBUY_2024Q2_10Q,1.0,0.0,0.0,0.16666666666666666,0.3562071871080222,BESTBUY_2021_10K | BESTBUY_2018_10K | BESTBUY_2022_10K | BESTBUY_2020_10K | BESTBUY_2024Q2_EARNINGS | BESTBUY_2024Q2_10Q | BESTBUY_2019_10K | BESTBUY_2023Q4_EARNINGS | BESTBUY_2016_10K | BESTBUY_2017_10K,None | None | None | None | None | None | None | None | None | None
